NumPoints = 750
X = -0.0482535    Y = 0.0141529    R = 1.41421
X = 0.995461    Y = -0.00648433    R = 0.272441
X = 0.298949    Y = -0.946168    R = 0.260691
X = 0.466991    Y = 0.874958    R = 0.251616
X = -0.734196    Y = -0.676753    R = 0.236967
X = -0.673571    Y = 0.737436    R = 0.22854
X = -0.987032    Y = 0.0475166    R = 0.143562
X = 0.474046    Y = -0.393182    R = 0.0841132
X = -0.168635    Y = -0.586835    R = 0.0819863
X = -0.106018    Y = 0.74838    R = 0.0805591
X = 0.471194    Y = 0.213591    R = 0.0774003
X = -0.513736    Y = 0.225639    R = 0.063934
X = 0.830144    Y = 0.537052    R = 0.0583681
X = -0.422709    Y = -0.224678    R = 0.0489277
X = 0.882401    Y = -0.433045    R = 0.0420857
X = -0.18238    Y = -0.979239    R = 0.0385425
X = 0.0931323    Y = 0.423312    R = 0.0363325
X = -0.873458    Y = 0.398885    R = 0.0340897
X = 0.123877    Y = -0.322195    R = 0.0319144
X = -0.772478    Y = -0.232794    R = 0.0306011
X = 0.653597    Y = -0.676849    R = 0.0279478
X = -0.373873    Y = 0.520935    R = 0.0266904
X = 0.430587    Y = 0.527702    R = 0.0250786
X = -0.370175    Y = 0.920759    R = 0.0248735
X = 0.577418    Y = -0.0990399    R = 0.0243012
X = 0.0981137    Y = 0.981369    R = 0.0239884
X = 0.188135    Y = -0.621161    R = 0.0233774
X = -0.451438    Y = -0.788348    R = 0.0231015
X = 0.771471    Y = 0.226946    R = 0.0225862
X = 0.260106    Y = 0.00217259    R = 0.0223139
X = -0.155581    Y = 0.260699    R = 0.018076
X = 0.187351    Y = 0.729162    R = 0.017893
X = -0.474812    Y = -0.52248    R = 0.0178081
X = -0.174072    Y = -0.290755    R = 0.0165466
X = -0.63693    Y = 0.00340259    R = 0.0161414
X = 0.0525179    Y = -0.88427    R = 0.0160491
X = -0.878317    Y = -0.477202    R = 0.0151478
X = 0.406213    Y = -0.71895    R = 0.0142801
X = 0.321234    Y = -0.218775    R = 0.0124114
X = 0.171519    Y = 0.200422    R = 0.0117876
X = -0.250101    Y = -0.0653769    R = 0.0117669
X = -0.110197    Y = 0.491446    R = 0.0114963
X = 0.727588    Y = -0.247558    R = 0.0111522
X = 0.64415    Y = 0.633064    R = 0.0109531
X = -0.666522    Y = -0.408824    R = 0.0105534
X = -0.821441    Y = 0.164639    R = 0.0102845
X = 0.943099    Y = -0.242906    R = 0.00995928
X = -0.475948    Y = 0.7112    R = 0.00993576
X = -0.594817    Y = 0.555571    R = 0.00958747
X = -0.305716    Y = 0.120556    R = 0.00941604
X = 0.589521    Y = 0.422779    R = 0.00906719
X = 0.0443925    Y = -0.493967    R = 0.00895582
X = 0.652563    Y = 0.0738674    R = 0.00888595
X = -0.967643    Y = -0.139729    R = 0.00885921
X = 0.0325607    Y = 0.613351    R = 0.00881018
X = -0.0877572    Y = 0.966097    R = 0.00869531
X = 0.55154    Y = -0.83405    R = 0.00859202
X = 0.821149    Y = -0.0638098    R = 0.00841775
X = 0.255319    Y = -0.449207    R = 0.00835225
X = -0.0319269    Y = -0.163949    R = 0.00799668
X = 0.333266    Y = 0.321554    R = 0.00767001
X = -0.270579    Y = -0.44606    R = 0.00755248
X = -0.466368    Y = 0.0355384    R = 0.00753104
X = -0.941758    Y = -0.310548    R = 0.00746231
X = 0.932263    Y = 0.153686    R = 0.00741214
X = -0.239315    Y = -0.818841    R = 0.00724223
X = -0.659631    Y = 0.308542    R = 0.00703952
X = 0.882401    Y = 0.3448    R = 0.00654876
X = -0.582218    Y = -0.202022    R = 0.0064891
X = -0.249835    Y = 0.621761    R = 0.00638783
X = -0.379    Y = 0.311284    R = 0.00637221
X = -0.363159    Y = -0.658607    R = 0.00615651
X = 0.699399    Y = -0.401795    R = 0.00614586
X = -0.579504    Y = -0.699099    R = 0.00609157
X = -0.0478556    Y = -0.68515    R = 0.00606338
X = 0.249162    Y = 0.960365    R = 0.00581418
X = -0.204954    Y = 0.86411    R = 0.00579545
X = 0.480548    Y = -0.588603    R = 0.00562904
X = -0.266294    Y = 0.418166    R = 0.00553367
X = 0.023996    Y = 0.211068    R = 0.00546911
X = 0.212418    Y = -0.826274    R = 0.00546555
X = 0.584067    Y = 0.785249    R = 0.00543861
X = -0.530776    Y = -0.352571    R = 0.00539787
X = 0.393081    Y = -0.0581052    R = 0.00532891
X = -0.553945    Y = 0.416006    R = 0.0052872
X = 0.334056    Y = 0.818668    R = 0.00521005
X = -0.84644    Y = -0.0613905    R = 0.00520674
X = 0.255356    Y = 0.602736    R = 0.00515205
X = -0.737388    Y = 0.430226    R = 0.0048743
X = -0.0561437    Y = 0.357735    R = 0.00482592
X = 0.457719    Y = 0.66325    R = 0.00477738
X = -0.331176    Y = 0.790993    R = 0.00459004
X = 0.587806    Y = 0.278485    R = 0.00445243
X = 0.710894    Y = 0.36876    R = 0.00441238
X = 0.251466    Y = 0.425089    R = 0.00435269
X = 0.301857    Y = 0.190031    R = 0.004274
X = 0.344071    Y = -0.35327    R = 0.00427026
X = 0.133746    Y = 0.075672    R = 0.00424733
X = 0.0637865    Y = -0.755647    R = 0.00416775
X = 0.453019    Y = 0.0858464    R = 0.00416226
X = -0.628678    Y = -0.580016    R = 0.00414976
X = -0.0564948    Y = -0.969694    R = 0.00398457
X = -0.912447    Y = 0.251815    R = 0.00397041
X = 0.40704    Y = -0.843857    R = 0.0039006
X = 0.452719    Y = -0.165092    R = 0.00375074
X = -0.809145    Y = -0.580047    R = 0.00374232
X = -0.103981    Y = -0.483514    R = 0.00371383
X = 0.797999    Y = -0.577444    R = 0.00699366
X = -0.37718    Y = -0.0468979    R = 0.00368754
X = 0.774377    Y = 0.048256    R = 0.00368659
X = -0.638169    Y = 0.123711    R = 0.00361892
X = -0.371712    Y = -0.878307    R = 0.00361218
X = 0.70115    Y = 0.527963    R = 0.00357381
X = 0.173756    Y = 0.847942    R = 0.0035734
X = -0.281508    Y = -0.239119    R = 0.00355218
X = 0.514369    Y = -0.281218    R = 0.00354043
X = -0.713712    Y = 0.550672    R = 0.00354006
X = 0.57836    Y = -0.446764    R = 0.00343812
X = -0.123118    Y = -0.819929    R = 0.00337574
X = -0.477069    Y = 0.876132    R = 0.00335447
X = 0.165112    Y = -0.0622476    R = 0.00329347
X = -0.269891    Y = 0.261726    R = 0.00326696
X = -0.196131    Y = -0.697427    R = 0.00324669
X = 0.393801    Y = -0.515265    R = 0.00322587
X = 0.265548    Y = -0.120253    R = 0.0032019
X = -0.858203    Y = 0.0509641    R = 0.00319048
X = 0.186553    Y = -0.940944    R = 0.00316503
X = -0.726759    Y = -0.50503    R = 0.00310377
X = -0.684086    Y = -0.156982    R = 0.00310142
X = -0.370536    Y = 0.675751    R = 0.00309211
X = 0.233654    Y = -0.286475    R = 0.00306344
X = -0.00556338    Y = 0.794431    R = 0.00305294
X = -0.197162    Y = 0.0308642    R = 0.00301623
X = -0.40356    Y = 0.170177    R = 0.00300888
X = 0.436839    Y = 0.419774    R = 0.00292187
X = -0.68181    Y = -0.302147    R = 0.00290342
X = 0.131417    Y = 0.571869    R = 0.00287332
X = -0.775072    Y = -0.409377    R = 0.00287091
X = 0.0475632    Y = -0.247738    R = 0.00284192
X = -0.852218    Y = 0.503006    R = 0.00282309
X = -0.448002    Y = 0.420045    R = 0.00281005
X = 0.681838    Y = -0.530928    R = 0.00391428
X = 0.283655    Y = -0.575572    R = 0.00280058
X = -0.38418    Y = -0.469878    R = 0.00274528
X = 0.623433    Y = -0.193065    R = 0.00273955
X = 0.551115    Y = 0.519151    R = 0.00269067
X = -0.272191    Y = -0.611449    R = 0.00262477
X = 0.298296    Y = -0.771615    R = 0.00259069
X = -0.00744599    Y = -0.592104    R = 0.00257263
X = -0.154539    Y = -0.0983956    R = 0.00255562
X = 0.794522    Y = 0.42541    R = 0.00255072
X = 0.912874    Y = -0.117494    R = 0.00282389
X = -0.553236    Y = -0.0526487    R = 0.00253662
X = 0.0950738    Y = 0.785108    R = 0.00253475
X = -0.120733    Y = -0.376095    R = 0.002532
X = 0.237176    Y = 0.275937    R = 0.00250333
X = 0.686672    Y = 0.167555    R = 0.0024852
X = 0.742983    Y = 0.633992    R = 0.00244223
X = -0.0860552    Y = -0.245471    R = 0.00239395
X = -0.381615    Y = -0.312651    R = 0.00235698
X = -0.463438    Y = 0.556031    R = 0.00231343
X = 0.120975    Y = -0.552007    R = 0.00230837
X = 0.0374037    Y = 0.116024    R = 0.00230325
X = 0.0661612    Y = 0.00784695    R = 0.00229198
X = 0.0427884    Y = 0.304817    R = 0.00228554
X = 0.231047    Y = 0.125856    R = 0.00227591
X = 0.000551701    Y = 0.930123    R = 0.00227315
X = 0.108891    Y = 0.670032    R = 0.00225975
X = -0.132411    Y = 0.168745    R = 0.0022481
X = 0.900562    Y = -0.0123361    R = 0.00223899
X = 0.54599    Y = 0.0997843    R = 0.00220945
X = 0.0730217    Y = -0.97522    R = 0.00217306
X = -0.14866    Y = 0.360132    R = 0.00214124
X = -0.022544    Y = 0.539209    R = 0.0021334
X = 0.871294    Y = -0.341646    R = 0.00211928
X = -0.523404    Y = -0.845134    R = 0.00210092
X = -0.196557    Y = 0.521964    R = 0.00209732
X = 0.481382    Y = 0.751308    R = 0.00207851
X = 0.656482    Y = -0.0169688    R = 0.00206665
X = -0.809473    Y = -0.144374    R = 0.00206324
X = -0.976049    Y = 0.136929    R = 0.00202882
X = -0.0237533    Y = -0.838934    R = 0.00196818
X = -0.0750588    Y = 0.101756    R = 0.00194418
X = 0.793906    Y = -0.383452    R = 0.00193417
X = -0.809527    Y = -0.32853    R = 0.00193086
X = -0.897477    Y = -0.386385    R = 0.00192802
X = 0.124832    Y = -0.829223    R = 0.00192001
X = -0.493161    Y = -0.711042    R = 0.00189943
X = 0.570052    Y = -0.0101544    R = 0.00187915
X = -0.856656    Y = -0.252355    R = 0.00186713
X = 0.248786    Y = -0.681888    R = 0.00184158
X = 0.762076    Y = -0.133816    R = 0.00209764
X = 0.913596    Y = 0.265274    R = 0.00182436
X = -0.186023    Y = -0.453227    R = 0.00180026
X = 0.0349549    Y = -0.111848    R = 0.00179691
X = 0.194736    Y = -0.390401    R = 0.0017821
X = -0.213143    Y = -0.190348    R = 0.00176308
X = -0.659912    Y = -0.722702    R = 0.00175565
X = -0.549096    Y = 0.751317    R = 0.00173999
X = -0.222133    Y = -0.36222    R = 0.00185425
X = 0.827363    Y = -0.495482    R = 0.00173189
X = 0.5175    Y = -0.663124    R = 0.0017297
X = 0.303458    Y = 0.48923    R = 0.00170431
X = 0.0111386    Y = 0.42562    R = 0.00168207
X = -0.305982    Y = 0.868506    R = 0.00166073
X = 0.603569    Y = -0.321847    R = 0.00240184
X = -0.464353    Y = -0.305384    R = 0.00165965
X = 0.800052    Y = -0.210543    R = 0.00165529
X = -0.597441    Y = -0.306014    R = 0.00165297
X = -0.290825    Y = -0.756913    R = 0.00162212
X = 0.395442    Y = 0.270362    R = 0.00162161
X = -0.498773    Y = -0.198235    R = 0.00162125
X = 0.0598179    Y = -0.370088    R = 0.00159933
X = -0.232365    Y = -0.538526    R = 0.00159881
X = -0.12076    Y = -0.740371    R = 0.00158377
X = -0.249406    Y = -0.936333    R = 0.00158333
X = 0.33389    Y = 0.031109    R = 0.00157033
X = 0.805151    Y = -0.299181    R = 0.00154456
X = -0.232172    Y = 0.146737    R = 0.00152353
X = -0.904241    Y = -0.184762    R = 0.00151195
X = 0.0779101    Y = -0.679321    R = 0.00150628
X = 0.615829    Y = -0.744569    R = 0.00150312
X = -0.907538    Y = -0.0140777    R = 0.00149286
X = -0.499699    Y = 0.47744    R = 0.00149168
X = -0.533982    Y = 0.341886    R = 0.00147307
X = -0.487051    Y = -0.414611    R = 0.00144022
X = -0.617564    Y = -0.46641    R = 0.00142827
X = 0.52042    Y = -0.751011    R = 0.00193317
X = -0.0868725    Y = 0.229669    R = 0.00142092
X = -0.0270427    Y = -0.5176    R = 0.00141538
X = 0.753989    Y = -0.638166    R = 0.00140601
X = -0.310778    Y = 0.560434    R = 0.00138527
X = -0.785599    Y = 0.0657256    R = 0.0013723
X = -0.693655    Y = 0.621924    R = 0.00136979
X = 0.415241    Y = 0.60279    R = 0.00136499
X = -0.351512    Y = -0.206009    R = 0.0013544
X = 0.6433    Y = 0.226763    R = 0.00134666
X = -0.522541    Y = -0.644017    R = 0.00133887
X = -0.905433    Y = 0.118201    R = 0.00133433
X = -0.542649    Y = -0.548827    R = 0.001324
X = -0.861227    Y = 0.327309    R = 0.00131819
X = 0.303658    Y = 0.117632    R = 0.0013112
X = 0.757142    Y = -0.517659    R = 0.00131088
X = 0.812462    Y = 0.167539    R = 0.00130235
X = 0.508241    Y = 0.430122    R = 0.00130133
X = -0.105917    Y = -0.621823    R = 0.00128944
X = 0.628366    Y = -0.578433    R = 0.001279
X = -0.600473    Y = -0.381423    R = 0.00127833
X = 0.230033    Y = -0.750476    R = 0.00126401
X = 0.337903    Y = -0.640495    R = 0.00178946
X = -0.433809    Y = -0.66556    R = 0.00125993
X = -0.608431    Y = -0.0970491    R = 0.00125449
X = -0.574085    Y = -0.769685    R = 0.00125293
X = -0.708799    Y = 0.127981    R = 0.00125172
X = -0.692971    Y = 0.0465825    R = 0.00125127
X = -0.336178    Y = 0.367475    R = 0.00124778
X = 0.277772    Y = -0.852893    R = 0.00124493
X = 0.378832    Y = 0.873156    R = 0.00124345
X = -0.441785    Y = -0.879891    R = 0.00122818
X = 0.351603    Y = 0.540157    R = 0.00122787
X = 0.664336    Y = -0.462415    R = 0.00122606
X = 0.437246    Y = -0.305339    R = 0.00163242
X = -0.735268    Y = -0.346926    R = 0.00121573
X = 0.532632    Y = -0.152522    R = 0.00121651
X = -0.38343    Y = 0.445578    R = 0.00120539
X = -0.606621    Y = 0.352194    R = 0.00117886
X = 0.867499    Y = -0.222727    R = 0.00117442
X = 0.516531    Y = -0.482862    R = 0.00128148
X = 0.437793    Y = -0.231807    R = 0.00116842
X = -0.0941137    Y = 0.898353    R = 0.0011574
X = -0.496962    Y = 0.811072    R = 0.00115713
X = -0.460415    Y = -0.588628    R = 0.00114569
X = -0.432349    Y = 0.230885    R = 0.00112859
X = -0.154909    Y = -0.0213351    R = 0.00112753
X = -0.875911    Y = -0.32162    R = 0.00111366
X = 0.488792    Y = -0.0883971    R = 0.00150849
X = 0.742797    Y = -0.322012    R = 0.00110233
X = 0.37946    Y = -0.904108    R = 0.00109772
X = 0.544903    Y = -0.573553    R = 0.001092
X = 0.310946    Y = -0.41008    R = 0.00108118
X = -0.323586    Y = -0.343117    R = 0.00107388
X = 0.931104    Y = -0.307328    R = 0.00107351
X = 0.526882    Y = 0.255679    R = 0.00105797
X = 0.14162    Y = -0.46563    R = 0.00197179
X = 0.391809    Y = -0.580215    R = 0.00105559
X = -0.0121861    Y = -0.922616    R = 0.0010449
X = 0.48685    Y = 0.605592    R = 0.00104328
X = 0.407273    Y = -0.38814    R = 0.00112101
X = -0.10377    Y = -0.881548    R = 0.00104281
X = -0.310891    Y = -0.900005    R = 0.0010425
X = -0.434654    Y = -0.362637    R = 0.00103998
X = 0.336273    Y = -0.47641    R = 0.0012048
